piece,piece_url,Work Title,Composer,Opus/Catalogue NumberOp./Cat. No.,Key,Movements/SectionsMov'ts/Sec's,Year/Date of CompositionY/D of Comp.,Composer Time PeriodComp. Period,Piece Style,Instrumentation,Average DurationAvg. Duration
"Sollt ich meinem Gott nicht singen, BWV 413 (Bach, Johann Sebastian)",https://imslp.org/wiki/Sollt_ich_meinem_Gott_nicht_singen%2C_BWV_413_(Bach%2C_Johann_Sebastian),Sollt ich meinem Gott nicht singen,"Bach, Johann Sebastian",BWV 413 ; BC F 130.1,,1 chorale,1725 or before,Baroque,Baroque,mixed chorus (SATB),
"Sonata for Viola da Gamba in G major, BWV 1027 (Bach, Johann Sebastian)",https://imslp.org/wiki/Sonata_for_Viola_da_Gamba_in_G_major%2C_BWV_1027_(Bach%2C_Johann_Sebastian),Sonata for Viola da Gamba in G major,"Bach, Johann Sebastian",BWV 1027,G major,4 movements:I. AdagioII. Allegro ma non tantoIII. AndanteIV. Allegro moderato,1730-40s in3 Sonatas for Viola da Gamba and Harpsichord(No.1),Baroque,Baroque,"viola da gamba, harpsichord",
"Sonata for Viola da Gamba in D major, BWV 1028 (Bach, Johann Sebastian)",https://imslp.org/wiki/Sonata_for_Viola_da_Gamba_in_D_major%2C_BWV_1028_(Bach%2C_Johann_Sebastian),Sonata for Viola da Gamba in D major,"Bach, Johann Sebastian",BWV 1028,D major,4 movements:AdagioAllegroAndanteAllegro,1730-40s in3 Sonatas for Viola da Gamba and Harpsichord(No.2),Baroque,Baroque,"viola da gamba, harpsichord",
"Sonata for Viola da Gamba in G minor, BWV 1029 (Bach, Johann Sebastian)",https://imslp.org/wiki/Sonata_for_Viola_da_Gamba_in_G_minor%2C_BWV_1029_(Bach%2C_Johann_Sebastian),Sonata for Viola da Gamba in G minor,"Bach, Johann Sebastian",BWV 1029,G minor,3 movements:VivaceAdagioAllegro,1730-40s in3 Sonatas for Viola da Gamba and Harpsichord(No.3),Baroque,Baroque,"viola da gamba, harpsichord",
"Sonata in A minor, BWV 965 (Bach, Johann Sebastian)",https://imslp.org/wiki/Sonata_in_A_minor%2C_BWV_965_(Bach%2C_Johann_Sebastian),Sonata in a,"Bach, Johann Sebastian",BWV 965 ; BC L 187,A minor,8 movements:AdagioFugaAdagioAllemandeCouranteSarabandeGigue,1705?,Baroque,Baroque,keyboard,
"Sonata in A minor, BWV 967 (Bach, Johann Sebastian)",https://imslp.org/wiki/Sonata_in_A_minor%2C_BWV_967_(Bach%2C_Johann_Sebastian),Sonata,"Bach, Johann Sebastian",BWV 967 ; BC L 183,A minor,1 (Allegro - Presto - Adagio),1705?,Baroque,Baroque,keyboard,
"Sonata in C major, BWV 966 (Bach, Johann Sebastian)",https://imslp.org/wiki/Sonata_in_C_major%2C_BWV_966_(Bach%2C_Johann_Sebastian),Sonata in C,"Bach, Johann Sebastian",BWV 966 ; BC L 186,C major,4 movements:PræludiumFugaAdagioAllemande,1705?,Baroque,Baroque,keyboard,
"Sonata in D major, BWV 963 (Bach, Johann Sebastian)",https://imslp.org/wiki/Sonata_in_D_major%2C_BWV_963_(Bach%2C_Johann_Sebastian),Sonata in D,"Bach, Johann Sebastian",BWV 963 ; BC L 182,D major,5 movements:[No Name][No Name][No Name]AdagioTheme all' Imitatio Gallina Cuccu,1704? ca.,Baroque,Baroque,keyboard,8-9 minutes
"Sonata in D minor, BWV 964 (Bach, Johann Sebastian)",https://imslp.org/wiki/Sonata_in_D_minor%2C_BWV_964_(Bach%2C_Johann_Sebastian),Sonata,"Bach, Johann Sebastian",BWV 964 ; BC L 184,D minor,4 movements:AdagioFuga. AllegroAndanteAllegro,,Baroque,Baroque,keyboard,
"Steh ich bei meinem Gott, BWV 503 (Bach, Johann Sebastian)",https://imslp.org/wiki/Steh_ich_bei_meinem_Gott%2C_BWV_503_(Bach%2C_Johann_Sebastian),Steh ich bei meinem Gott,"Bach, Johann Sebastian",BWV 503 ; BC F 287,,1 sacred song,1735,Baroque,Baroque,"voice, continuo",
"Suite in A major, BWV 832 (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_A_major%2C_BWV_832_(Bach%2C_Johann_Sebastian),Suite in A,"Bach, Johann Sebastian",BWV 832 ; BC L 174,A major,5 movements:AllemandeAir pour les TrompettesSarabandeBourréeGigue,1708?,Baroque,Baroque,keyboard,
"Suite in A major, BWV 1025 (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_A_major%2C_BWV_1025_(Bach%2C_Johann_Sebastian),Lute Sonata in A major,"Weiss, Sylvius Leopold",SC 47 ; (BWV 1025) ; (BNB I/An/14),A major,7 movements:FantasiaCouranteEntréeRondeauSarabandeMenuettAllegro,,Baroque,Baroque,"lute, keyboard",
